id,from_user,to_user,day
205,114bafadff2d882864,5dc768b2f067c56f77,2
202,114bafadff2d882864,47be2887786891367e,3
206,114bafadff2d882864,2813e59cf6c1ff698e,5
207,114bafadff2d882864,5eff3a5bfc0687351e,6
204,114bafadff2d882864,cbc4bd40cd1687754,7
201,114bafadff2d882864,75d295377a46f83236,8
200,114bafadff2d882864,157e3e9278e32aba3e,10
203,114bafadff2d882864,aa0bd72b729fab6e9e,10
152,157e3e9278e32aba3e,aa0bd72b729fab6e9e,2
159,157e3e9278e32aba3e,a84065b7933ad01019,2
151,157e3e9278e32aba3e,850badf89ed8f06854,3
158,157e3e9278e32aba3e,6edf0be4b2267df1fa,3
157,157e3e9278e32aba3e,91f59516cb9dee1e88,4
156,157e3e9278e32aba3e,114bafadff2d882864,7
155,157e3e9278e32aba3e,5eff3a5bfc0687351e,8
160,157e3e9278e32aba3e,5b8754928306a18b68,9
153,157e3e9278e32aba3e,75d295377a46f83236,10
154,157e3e9278e32aba3e,e22d2eabc2d4c19688,10
161,2813e59cf6c1ff698e,47be2887786891367e,2
166,2813e59cf6c1ff698e,cbc4bd40cd1687754,2
171,2813e59cf6c1ff698e,55e60cfcc9dc49c17e,2
167,2813e59cf6c1ff698e,8bba390b53976da0cd,3
169,2813e59cf6c1ff698e,32ded68d89443e808,3
162,2813e59cf6c1ff698e,e0e0defbb9ec47f6f7,4
163,2813e59cf6c1ff698e,75d295377a46f83236,5
164,2813e59cf6c1ff698e,5eff3a5bfc0687351e,5
168,2813e59cf6c1ff698e,6edf0be4b2267df1fa,6
170,2813e59cf6c1ff698e,114bafadff2d882864,6
165,2813e59cf6c1ff698e,406539987dd9b679c0,7
42,32ded68d89443e808,91f59516cb9dee1e88,1
44,32ded68d89443e808,d63386c884aeb9f71d,3
47,32ded68d89443e808,406539987dd9b679c0,3
53,32ded68d89443e808,6b503743a13d778200,3
39,32ded68d89443e808,850badf89ed8f06854,4
51,32ded68d89443e808,aa0bd72b729fab6e9e,4
54,32ded68d89443e808,5b8754928306a18b68,4
52,32ded68d89443e808,75d295377a46f83236,5
55,32ded68d89443e808,47be2887786891367e,5
38,32ded68d89443e808,e0e0defbb9ec47f6f7,6
41,32ded68d89443e808,8bba390b53976da0cd,6
43,32ded68d89443e808,6edf0be4b2267df1fa,7
45,32ded68d89443e808,32ded68d89443e808,7
40,32ded68d89443e808,5eff3a5bfc0687351e,8
46,32ded68d89443e808,5dc768b2f067c56f77,9
49,32ded68d89443e808,2813e59cf6c1ff698e,9
37,32ded68d89443e808,55e60cfcc9dc49c17e,10
48,32ded68d89443e808,a84065b7933ad01019,10
50,32ded68d89443e808,cbc4bd40cd1687754,10
211,406539987dd9b679c0,32ded68d89443e808,3
216,406539987dd9b679c0,a84065b7933ad01019,3
215,406539987dd9b679c0,e22d2eabc2d4c19688,4
209,406539987dd9b679c0,114bafadff2d882864,5
214,406539987dd9b679c0,91f59516cb9dee1e88,6
212,406539987dd9b679c0,e0e0defbb9ec47f6f7,7
213,406539987dd9b679c0,d63386c884aeb9f71d,7
208,406539987dd9b679c0,ef5fe98c6b9f313075,8
210,406539987dd9b679c0,8bba390b53976da0cd,10
258,47be2887786891367e,e22d2eabc2d4c19688,4
254,47be2887786891367e,e0e0defbb9ec47f6f7,5
259,47be2887786891367e,aa0bd72b729fab6e9e,6
256,47be2887786891367e,55e60cfcc9dc49c17e,7
257,47be2887786891367e,406539987dd9b679c0,7
255,47be2887786891367e,2813e59cf6c1ff698e,9
269,55e60cfcc9dc49c17e,e6088004caf0c8cc51,1
274,55e60cfcc9dc49c17e,406539987dd9b679c0,1
275,55e60cfcc9dc49c17e,6b503743a13d778200,1
260,55e60cfcc9dc49c17e,d63386c884aeb9f71d,2
263,55e60cfcc9dc49c17e,850badf89ed8f06854,3
272,55e60cfcc9dc49c17e,2813e59cf6c1ff698e,3
261,55e60cfcc9dc49c17e,6edf0be4b2267df1fa,4
262,55e60cfcc9dc49c17e,5eff3a5bfc0687351e,5
268,55e60cfcc9dc49c17e,e0e0defbb9ec47f6f7,5
273,55e60cfcc9dc49c17e,aa0bd72b729fab6e9e,6
265,55e60cfcc9dc49c17e,75d295377a46f83236,7
267,55e60cfcc9dc49c17e,114bafadff2d882864,7
264,55e60cfcc9dc49c17e,47be2887786891367e,8
266,55e60cfcc9dc49c17e,5b8754928306a18b68,8
271,55e60cfcc9dc49c17e,ef5fe98c6b9f313075,8
270,55e60cfcc9dc49c17e,32ded68d89443e808,10
276,5b8754928306a18b68,7cfe354d9a64bf8173,1
277,5b8754928306a18b68,6edf0be4b2267df1fa,1
279,5b8754928306a18b68,406539987dd9b679c0,1
289,5b8754928306a18b68,55e60cfcc9dc49c17e,2
287,5b8754928306a18b68,32ded68d89443e808,3
288,5b8754928306a18b68,d63386c884aeb9f71d,3
291,5b8754928306a18b68,5b8754928306a18b68,3
280,5b8754928306a18b68,5dc768b2f067c56f77,4
281,5b8754928306a18b68,a84065b7933ad01019,4
284,5b8754928306a18b68,e0e0defbb9ec47f6f7,4
285,5b8754928306a18b68,e6088004caf0c8cc51,5
293,5b8754928306a18b68,5eff3a5bfc0687351e,5
278,5b8754928306a18b68,cbc4bd40cd1687754,6
292,5b8754928306a18b68,157e3e9278e32aba3e,7
286,5b8754928306a18b68,91f59516cb9dee1e88,8
290,5b8754928306a18b68,aa0bd72b729fab6e9e,8
283,5b8754928306a18b68,2813e59cf6c1ff698e,9
282,5b8754928306a18b68,6b503743a13d778200,10
32,5dc768b2f067c56f77,850badf89ed8f06854,1
34,5dc768b2f067c56f77,75d295377a46f83236,2
26,5dc768b2f067c56f77,114bafadff2d882864,3
27,5dc768b2f067c56f77,2813e59cf6c1ff698e,5
30,5dc768b2f067c56f77,6b503743a13d778200,5
28,5dc768b2f067c56f77,91f59516cb9dee1e88,6
29,5dc768b2f067c56f77,5b8754928306a18b68,6
33,5dc768b2f067c56f77,406539987dd9b679c0,7
35,5dc768b2f067c56f77,d63386c884aeb9f71d,8
36,5dc768b2f067c56f77,ef5fe98c6b9f313075,9
31,5dc768b2f067c56f77,aa0bd72b729fab6e9e,10
220,5eff3a5bfc0687351e,ef5fe98c6b9f313075,1
221,5eff3a5bfc0687351e,5dc768b2f067c56f77,2
218,5eff3a5bfc0687351e,a84065b7933ad01019,3
219,5eff3a5bfc0687351e,6b503743a13d778200,5
225,5eff3a5bfc0687351e,75d295377a46f83236,5
222,5eff3a5bfc0687351e,e6088004caf0c8cc51,6
226,5eff3a5bfc0687351e,47be2887786891367e,6
217,5eff3a5bfc0687351e,2813e59cf6c1ff698e,7
224,5eff3a5bfc0687351e,91f59516cb9dee1e88,7
227,5eff3a5bfc0687351e,7cfe354d9a64bf8173,7
223,5eff3a5bfc0687351e,850badf89ed8f06854,8
73,6b503743a13d778200,cbc4bd40cd1687754,2
76,6b503743a13d778200,32ded68d89443e808,4
71,6b503743a13d778200,850badf89ed8f06854,5
74,6b503743a13d778200,e0e0defbb9ec47f6f7,5
75,6b503743a13d778200,7cfe354d9a64bf8173,5
78,6b503743a13d778200,aa0bd72b729fab6e9e,7
77,6b503743a13d778200,e6088004caf0c8cc51,9
79,6b503743a13d778200,5dc768b2f067c56f77,9
72,6b503743a13d778200,55e60cfcc9dc49c17e,10
4,6edf0be4b2267df1fa,47be2887786891367e,1
7,6edf0be4b2267df1fa,850badf89ed8f06854,1
8,6edf0be4b2267df1fa,6b503743a13d778200,1
10,6edf0be4b2267df1fa,5b8754928306a18b68,2
14,6edf0be4b2267df1fa,157e3e9278e32aba3e,2
9,6edf0be4b2267df1fa,d63386c884aeb9f71d,3
13,6edf0be4b2267df1fa,114bafadff2d882864,5
1,6edf0be4b2267df1fa,32ded68d89443e808,6
3,6edf0be4b2267df1fa,e0e0defbb9ec47f6f7,6
5,6edf0be4b2267df1fa,2813e59cf6c1ff698e,6
6,6edf0be4b2267df1fa,a84065b7933ad01019,8
11,6edf0be4b2267df1fa,6edf0be4b2267df1fa,8
12,6edf0be4b2267df1fa,406539987dd9b679c0,9
0,6edf0be4b2267df1fa,75d295377a46f83236,10
2,6edf0be4b2267df1fa,55e60cfcc9dc49c17e,10
21,75d295377a46f83236,5eff3a5bfc0687351e,2
17,75d295377a46f83236,55e60cfcc9dc49c17e,3
23,75d295377a46f83236,114bafadff2d882864,3
24,75d295377a46f83236,e0e0defbb9ec47f6f7,3
15,75d295377a46f83236,75d295377a46f83236,6
20,75d295377a46f83236,850badf89ed8f06854,7
16,75d295377a46f83236,d63386c884aeb9f71d,8
22,75d295377a46f83236,5dc768b2f067c56f77,8
18,75d295377a46f83236,47be2887786891367e,10
19,75d295377a46f83236,5b8754928306a18b68,10
25,75d295377a46f83236,7cfe354d9a64bf8173,10
296,7cfe354d9a64bf8173,5eff3a5bfc0687351e,1
298,7cfe354d9a64bf8173,47be2887786891367e,1
306,7cfe354d9a64bf8173,157e3e9278e32aba3e,1
307,7cfe354d9a64bf8173,406539987dd9b679c0,3
294,7cfe354d9a64bf8173,ef5fe98c6b9f313075,4
299,7cfe354d9a64bf8173,32ded68d89443e808,4
304,7cfe354d9a64bf8173,2813e59cf6c1ff698e,6
305,7cfe354d9a64bf8173,e6088004caf0c8cc51,6
295,7cfe354d9a64bf8173,d63386c884aeb9f71d,7
297,7cfe354d9a64bf8173,6b503743a13d778200,7
308,7cfe354d9a64bf8173,91f59516cb9dee1e88,7
